Brand,Model,Body,Color,Fuel,Kilometers,Engine,Transmission,Price,Gov,Age_of_Car
Hyundai,Accent,Sedan,Black,Benzine,150000,1600,Automatic,140.0,Giza,15
Hyundai,Accent,Sedan,Gray,Benzine,150000,1500,Manual,70.0,Giza,23
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,150000,1600,Automatic,150.0,Cairo,13
Hyundai,Accent,Sedan,Red,Benzine,95000,1500,Automatic,185.0,Minya,10
Hyundai,Accent,Sedan,Gold,Benzine,190000,1500,Manual,70.0,Giza,23
Hyundai,Accent,Sedan,Red,Benzine,110000,1600,Automatic,185.0,Cairo,12
Hyundai,Accent,Sedan,Silver,Benzine,190000,1600,Automatic,200.0,Alexandria,7
Hyundai,Accent,Sedan,Gold,Benzine,130000,1600,Automatic,165.0,Giza,10
Hyundai,Accent,Sedan,Silver,Benzine,150000,1500,Automatic,256.0,Cairo,5
Hyundai,Accent,Sedan,Black,Benzine,110000,1600,Manual,165.0,Sharqia,11
Hyundai,Accent,Sedan,Black,Benzine,130000,1600,Automatic,185.0,Cairo,10
Hyundai,Accent,Sedan,Black,Benzine,5000,1600,Automatic,175.0,Sharqia,12
Hyundai,Accent,Sedan,Gray,Benzine,200000,1600,Manual,75.0,Alexandria,26
Hyundai,Accent,Sedan,Silver,Benzine,200000,1500,Manual,130.0,Minya,14
Hyundai,Accent,Sedan,Red,Benzine,25000,1600,Automatic,320.0,Cairo,2
Hyundai,Accent,Sedan,Gold,Benzine,200000,1500,Manual,69.0,Kafr al-Sheikh,17
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,25000,1600,Manual,98.0,Alexandria,14
Hyundai,Accent,Sedan,Gray,Benzine,170000,1600,Manual,155.0,Alexandria,9
Hyundai,Accent,Sedan,Gold,Benzine,35000,1600,Automatic,155.0,Alexandria,11
Hyundai,Accent,Sedan,Silver,Benzine,85000,1600,Automatic,215.0,Cairo,7
Hyundai,Accent,Sedan,Black,Benzine,5000,1500,Automatic,160.0,Beheira,11
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,200000,1500,Automatic,82.0,Alexandria,22
Hyundai,Accent,Sedan,Other Color,Benzine,65000,1600,Automatic,285.0,Cairo,3
Hyundai,Accent,Sedan,Burgundy,Benzine,110000,1500,Manual,75.0,Cairo,21
Hyundai,Accent,Sedan,Silver,Benzine,190000,1500,Manual,65.0,Giza,22
